,Origen,Destino,Hora Salida,Hora Llegada,Desde
0,MEX,EWR,9:05,14:50,                     396                
1,MEX,EWR,13:55,19:40,                     396                
2,MEX,EWR,5:40,14:50,                     402                
3,MEX,LGA,5:40,16:47,                     402                
4,MEX,EWR,5:40,19:10,                     402                
5,MEX,EWR,6:05,19:40,"                     1,265                "
6,MEX,LGA,7:50,16:47,                     402                
7,MEX,EWR,7:50,19:10,                     402                
8,MEX,EWR,7:50,20:51,                     402                
9,MEX,LGA,7:50,21:59,                     402                
10,MEX,EWR,8:10,17:45,"                     1,200                "
11,MEX,LGA,8:10,19:14,                     402                
12,MEX,LGA,8:10,20:20,                     402                
13,MEX,EWR,8:10,21:24,"                     1,490                "
14,MEX,LGA,9:40,18:49,                     402                
15,MEX,EWR,9:40,20:53,"                     1,106                "
16,MEX,EWR,9:40,23:29,"                     1,106                "
17,MEX,LGA,10:05,19:12,                     474                
18,MEX,LAX,5:40,11:30,                     332                
19,MEX,LAX,5:40,16:08,                     332                
20,MEX,LAX,5:40,18:02,                     332                
21,MEX,LAX,5:40,21:49,                     332                
22,MEX,LAX,6:05,12:24,                     460                
23,MEX,LAX,6:05,15:20,                     332                
24,MEX,LAX,6:05,20:02,                     460                
25,MEX,LAX,6:05,23:02,                     332                
26,MEX,LAX,7:50,13:40,                     332                
27,MEX,LAX,7:50,17:06,                     332                
28,MEX,LAX,7:50,19:45,                     332                
29,MEX,LAX,7:50,23:29,                     332                
30,MEX,LAX,8:10,20:25,"                     1,234                "
31,MEX,LAX,10:05,17:06,                     332                
32,MEX,LAX,10:05,19:45,                     332                
33,MEX,LAX,10:05,23:29,                     332                
34,MEX,LAX,12:05,19:45,                     332                
35,MEX,LAX,12:05,23:29,                     332                
36,MEX,MIA,5:40,12:59,                     345                
37,MEX,MIA,5:40,23:29, 236lowest price  236
38,MEX,MIA,7:50,23:29,                     262                
39,MEX,MIA,9:05,22:06,"                     1,662                "
40,MEX,MIA,10:05,23:29,                     460                
41,MEX,MIA,11:00,23:59,"                     1,662                "
42,MEX,MIA,15:05,23:29,"                     1,202                "
43,MEX,MIA,5:40,19:08,"                     1,513                "
44,MEX,MIA,5:40,22:06,"                     1,504                "
45,MEX,MIA,5:40,23:59,"                     1,504                "
46,MEX,MIA,5:40,23:59,"                     1,510                "
47,MEX,MIA,7:50,22:06,"                     1,504                "
48,MEX,MIA,7:50,23:59,"                     1,504                "
49,MEX,MIA,7:50,23:59,"                     1,513                "
50,MEX,MIA,8:10,23:59,"                     1,224                "
51,MEX,MIA,9:40,23:59,"                     1,210                "
